Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$71.4M,$122.8M,58.2%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$34.0M,$37.7M,90.3%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2016-FY2017,2017,96-3126 16/17 - Regulatory Program,$4.8M,$19.9M,24.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$12.7M,$12.7M,100.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2016-FY2017,2017,96-3124 16/17 - Expenses,$3.4M,$5.6M,60.6%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$3.5M,$4.9M,71.1%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2017-FY2018,2018,96-3132 17/18 - Office of the Assistant Secretary of the Army for Civil Works,$1.6M,$4.8M,32.9%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$3.9M,$3.9M,100.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$1.6M,$2.6M,64.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Special Use Permit Fees,96-5607,No Year,No Year,96-5607 /X - Special Use Permit Fees,$0.6M,$0.6M,100.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Interagency America the Beautiful Pass Revenues,96-5570,No Year,No Year,96-5570 /X - Interagency America the Beautiful Pass Revenues,$0.4M,$0.4M,100.0%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.2M,$0.4M,52.5%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.1M,5.8%
May,2017,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,No Year,No Year,96-3132 /X - Office of the Assistant Secretary of the Army for Civil Works,$0.1M,$0.1M,100.0%
May,2017,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2017,2017,12-3505 /17 - Supplemental Nutrition Assistance Program,"$28,195.7M","$74,717.3M",37.7%
May,2017,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$35,235.9M","$44,976.8M",78.3%
May,2017,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2017-FY2018,2018,12-3539 17/18 - State Child Nutrition Programs,"$-3,647.4M","$13,267.0M",-27.5%
May,2017,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$7,182.3M","$12,991.6M",55.3%
May,2017,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$6,573.2M","$8,400.7M",78.2%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$6,888.7M","$7,434.4M",92.7%
May,2017,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2017-FY2018,2018,"12-3510 17/18 - Special Supplemental Nutrition Program for Women, Infants, and C","$2,041.0M","$6,350.0M",32.1%
May,2017,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$3,802.2M","$5,673.1M",67.0%
May,2017,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$2,369.0M","$4,356.2M",54.4%
May,2017,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2017-FY2019,2019,12-3505 17/19 - Supplemental Nutrition Assistance Program,"$3,000.0M","$3,000.0M",100.0%
May,2017,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,FY2017-FY2020,2020,12-1115 17/20 - Wildland Fire Management,"$1,427.9M","$2,870.4M",49.7%
May,2017,Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,$333.5M,"$1,828.9M",18.2%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,$701.3M,"$1,821.3M",38.5%
May,2017,Department of Agriculture,Forest Service,National Forest System,12-1106,FY2017-FY2020,2020,12-1106 17/20 - National Forest System,$632.4M,"$1,582.6M",40.0%
May,2017,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,$366.4M,"$1,462.7M",25.1%
May,2017,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2017,2017,12-1400 /17 - Salaries and Expenses,$714.1M,"$1,395.3M",51.2%
May,2017,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2016-FY2017,2017,"12-3510 16/17 - Special Supplemental Nutrition Program for Women, Infants, and C",$212.4M,"$1,366.7M",15.5%
May,2017,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2017,2017,12-0137 /17 - Rental Assistance Program,$501.3M,"$1,365.0M",36.7%
May,2017,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$927.1M,"$1,215.1M",76.3%
May,2017,Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$673.4M,"$1,200.8M",56.1%
May,2017,Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$468.5M,"$1,063.5M",44.1%
May,2017,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2016-FY2017,2017,12-3539 16/17 - State Child Nutrition Programs,$407.5M,"$1,040.7M",39.2%
May,2017,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2017,2017,12-0600 /17 - Salaries and Expenses,$527.6M,"$1,018.7M",51.8%
May,2017,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2017,2017,12-3700 /17 - Salaries and Expenses,$281.7M,"$1,013.5M",27.8%
May,2017,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$675.8M,$969.3M,69.7%
May,2017,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2017-FY2018,2018,12-1000 17/18 - Conservation Operations,$459.5M,$866.4M,53.0%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$376.0M,$680.3M,55.3%
May,2017,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$402.5M,$674.2M,59.7%
May,2017,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Liquidating Account,12-4230,No Year,No Year,12-4230 /X - Rural Electrification and Telecommunications Liquidating Account,$545.7M,$671.5M,81.3%
May,2017,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2017,2017,12-1140 /17 - Agricultural Credit Insurance Fund Program Account,$406.2M,$644.1M,63.1%
May,2017,Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$545.0M,$642.3M,84.9%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2017,2017,12-1500 /17 - Research and Education Activities,$570.9M,$635.2M,89.9%
May,2017,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2017,2017,12-1600 /17 - Salaries and Expenses,$250.7M,$629.3M,39.8%
May,2017,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2017-FY2018,2018,12-3505 17/18 - Supplemental Nutrition Assistance Program,$61.5M,$580.2M,10.6%
May,2017,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$224.2M,$558.2M,40.2%
May,2017,Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2017,2017,12-0403 /17 - Salaries and Expenses,$106.9M,$530.6M,20.1%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2017,2017,12-0502 /17 - Extension Activities,$449.2M,$514.4M,87.3%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2017,2017,12-2081 /17 - Rural Housing Insurance Fund Program Account,$181.7M,$494.5M,36.7%
May,2017,Department of Agriculture,Forest Service,FLAME Wildfire Suppression Reserve Fund,12-1120,No Year,No Year,12-1120 /X - FLAME Wildfire Suppression Reserve Fund,$489.8M,$489.8M,100.0%
May,2017,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$42.9M,$484.8M,8.8%
May,2017,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$330.5M,$478.9M,69.0%
May,2017,Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$372.5M,$438.7M,84.9%
May,2017,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,$184.2M,$418.9M,44.0%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$358.2M,$399.1M,89.8%
May,2017,Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$216.1M,$398.6M,54.2%
May,2017,Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$246.4M,$397.0M,62.1%
May,2017,Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,FY2017-FY2020,2020,12-1103 17/20 - Capital Improvement and Maintenance,$212.7M,$386.5M,55.0%
May,2017,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2017,2017,12-2900 /17 - Salaries and Expenses,$224.2M,$385.5M,58.2%
May,2017,Department of Agriculture,Agricultural Research Service,Buildings and Facilities,12-1401,No Year,No Year,12-1401 /X - Buildings and Facilities,$345.7M,$348.3M,99.3%
May,2017,Department of Agriculture,Forest Service,Restoration of Forest Lands and Improvements,12-5215,No Year,No Year,12-5215 /X - Restoration of Forest Lands and Improvements,$310.2M,$339.7M,91.3%
May,2017,Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2017-FY2018,2018,12-3507 17/18 - Commodity Assistance Program,$164.1M,$338.3M,48.5%
May,2017,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$292.3M,$321.5M,90.9%
May,2017,Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,FY2017-FY2020,2020,12-1104 17/20 - Forest and Rangeland Research,$138.2M,$306.5M,45.1%
May,2017,Department of Agriculture,Farm Service Agency,Emergency Conservation Program,12-3316,No Year,No Year,12-3316 /X - Emergency Conservation Program,$248.2M,$300.4M,82.6%
May,2017,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015-FY2017,2017,12-3505 15/17 - Supplemental Nutrition Assistance Program,$42.5M,$300.0M,14.2%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$293.8M,$299.7M,98.0%
May,2017,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$103.5M,$287.9M,36.0%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$215.4M,$268.7M,80.2%
May,2017,Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutriti,12-2903,No Year,No Year,12-2903 /X - McGovern-Dole International Food for Education and Child Nutriti,$257.5M,$268.5M,95.9%
May,2017,Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$261.3M,$261.9M,99.8%
May,2017,Department of Agriculture,Forest Service,State and Private Forestry,12-1105,FY2017-FY2020,2020,12-1105 17/20 - State and Private Forestry,$168.6M,$234.0M,72.1%
May,2017,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$112.8M,$225.4M,50.1%
May,2017,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,No Year,No Year,"12-3510 /X - Special Supplemental Nutrition Program for Women, Infants, and C",$199.9M,$221.3M,90.4%
May,2017,Department of Agriculture,Agricultural Marketing Service,Miscellaneous Trust Funds,12-8015,No Year,No Year,12-8015 /X - Miscellaneous Trust Funds,$110.4M,$221.1M,49.9%
May,2017,Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Direct Loan Finan",12-4146,No Year,No Year,"12-4146 /X - Distance Learning, Telemedicine, and Broadband Direct Loan Finan",$179.1M,$218.7M,81.9%
May,2017,Department of Agriculture,Forest Service,"Payment to States, National Forests Fund",12-5201,No Year,No Year,"12-5201 /X - Payment to States, National Forests Fund",$145.7M,$209.3M,69.6%
May,2017,Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,FY2017,2017,12-1801 /17 - National Agricultural Statistics Service,$79.9M,$175.0M,45.6%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Program Account,12-3106,No Year,No Year,12-3106 /X - Biorefinery Assistance Program Account,$172.2M,$174.4M,98.7%
May,2017,Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,12-8161,No Year,No Year,12-8161 /X - Tobacco Trust Fund,$167.3M,$167.3M,100.0%
May,2017,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,FY2017,2017,12-2500 /17 - Marketing Services,$77.0M,$163.0M,47.3%
May,2017,Department of Agriculture,Forest Service,"Recreation Fees, Forest Service",12-5268,No Year,No Year,"12-5268 /X - Recreation Fees, Forest Service",$120.8M,$157.9M,76.5%
May,2017,Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,FY2017,2017,12-3508 /17 - Nutrition Programs Administration,$64.2M,$153.0M,41.9%
May,2017,Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$42.0M,$143.3M,29.3%
May,2017,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,No Year,No Year,12-1400 /X - Salaries and Expenses,$123.1M,$129.5M,95.1%
May,2017,Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$64.0M,$126.5M,50.5%
May,2017,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2016-FY2017,2017,12-1000 16/17 - Conservation Operations,$100.4M,$116.3M,86.3%
May,2017,Department of Agriculture,Buildings and Facilities,Agriculture Buildings and Facilities and Rental Payments,12-0117,No Year,No Year,12-0117 /X - Agriculture Buildings and Facilities and Rental Payments,$72.1M,$113.5M,63.5%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2017,2017,"12-1502 /17 - Integrated Research, Education, and Extension Competitive Grants",$106.7M,$112.7M,94.7%
May,2017,Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,12-1002,No Year,No Year,12-1002 /X - Watershed Rehabilitation Program,$105.7M,$109.5M,96.5%
May,2017,Department of Agriculture,Office of the Secretary,Office of the Secretary,12-0115,FY2017,2017,12-0115 /17 - Office of the Secretary,$45.4M,$108.4M,41.9%
May,2017,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,No Year,No Year,12-2500 /X - Marketing Services,$67.6M,$105.8M,63.9%
May,2017,Department of Agriculture,Forest Service,Timber Salvage Sales,12-5204,No Year,No Year,12-5204 /X - Timber Salvage Sales,$83.3M,$105.7M,78.9%
May,2017,Department of Agriculture,Foreign Agricultural Service,Debt Reduction - Financing Account,12-4143,No Year,No Year,12-4143 /X - Debt Reduction - Financing Account,$102.6M,$105.0M,97.7%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,12-1902,No Year,No Year,12-1902 /X - Rural Business Program Account,$74.0M,$102.3M,72.4%
May,2017,Department of Agriculture,Office of Inspector General,Office of Inspector General,12-0900,FY2017,2017,12-0900 /17 - Office of Inspector General,$41.8M,$99.9M,41.9%
May,2017,Department of Agriculture,Foreign Agricultural Service,P.L. 480 Direct Credit Financing Account,12-4049,No Year,No Year,12-4049 /X - P.L. 480 Direct Credit Financing Account,$75.3M,$98.3M,76.6%
May,2017,Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",12-1232,No Year,No Year,"12-1232 /X - Distance Learning, Telemedicine, and Broadband Program",$85.2M,$97.9M,87.1%
May,2017,Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Limitation on Inspection and Weighing Services Expenses,12-4050,No Year,No Year,12-4050 /X - Limitation on Inspection and Weighing Services Expenses,$53.9M,$89.3M,60.4%
May,2017,Department of Agriculture,Economic Research Service,Economic Research Service,12-1701,FY2017,2017,12-1701 /17 - Economic Research Service,$38.8M,$88.8M,43.6%
May,2017,Department of Agriculture,Risk Management Agency,Administrative and Operating Expenses,12-2707,FY2017,2017,12-2707 /17 - Administrative and Operating Expenses,$31.8M,$83.6M,38.0%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Liquidating Account,12-4141,No Year,No Year,12-4141 /X - Rural Housing Insurance Fund Liquidating Account,$59.3M,$80.8M,73.5%
May,2017,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Guarantee Financing Account,12-4337,No Year,No Year,12-4337 /X - Commodity Credit Corporation Export Guarantee Financing Account,$64.1M,$78.3M,81.8%
May,2017,Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,12-2501,FY2017,2017,12-2501 /17 - Payments to States and Possessions,$67.1M,$68.7M,97.7%
May,2017,Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$37.9M,$67.0M,56.6%
May,2017,Department of Agriculture,Office of Chief Information Officer,Office of the Chief Information Officer,12-0013,FY2017,2017,12-0013 /17 - Office of the Chief Information Officer,$38.1M,$65.3M,58.4%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Program Account,12-1908,No Year,No Year,12-1908 /X - Renewable Energy Program Account,$44.3M,$64.4M,68.7%
May,2017,Department of Agriculture,Farm Service Agency,Emergency Forest Restoration Program,12-0171,No Year,No Year,12-0171 /X - Emergency Forest Restoration Program,$59.2M,$61.1M,96.9%
May,2017,Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Guaranteed Loan Financing Account,12-4267,No Year,No Year,12-4267 /X - Renewable Energy Guaranteed Loan Financing Account,$61.0M,$61.0M,99.9%
May,2017,Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2016-FY2017,2017,12-3507 16/17 - Commodity Assistance Program,$27.3M,$59.8M,45.6%
May,2017,Department of Agriculture,Agricultural Research Service,Miscellaneous Contributed Funds,12-8214,No Year,No Year,12-8214 /X - Miscellaneous Contributed Funds,$44.5M,$58.7M,75.7%
May,2017,Department of Agriculture,Rural Housing Service,Rural Community Facilities Program Account,12-1951,No Year,No Year,12-1951 /X - Rural Community Facilities Program Account,$48.6M,$56.6M,85.9%
May,2017,Department of Agriculture,Forest Service,"Expenses, Brush Disposal",12-5206,No Year,No Year,"12-5206 /X - Expenses, Brush Disposal",$43.0M,$55.7M,77.2%
May,2017,Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Program Account,12-2002,No Year,No Year,12-2002 /X - Multifamily Housing Revitalization Program Account,$31.1M,$49.3M,63.0%
May,2017,Department of Agriculture,Rural Housing Service,Rural Community Facility Guaranteed Loans Financing Account,12-4228,No Year,No Year,12-4228 /X - Rural Community Facility Guaranteed Loans Financing Account,$38.1M,$49.0M,77.9%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,No Year,No Year,"12-1502 /X - Integrated Research, Education, and Extension Competitive Grants",$26.1M,$48.7M,53.6%
May,2017,Department of Agriculture,Office of the General Counsel,Office of the General Counsel,12-2300,FY2017,2017,12-2300 /17 - Office of the General Counsel,$17.7M,$48.6M,36.4%
May,2017,Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Salaries and Expenses,12-2400,FY2017,2017,12-2400 /17 - Salaries and Expenses,$17.7M,$43.6M,40.7%
May,2017,Department of Agriculture,Farm Service Agency,Agriculture Wool Apparel Manufacturers Trust Fund,12-5636,No Year,No Year,12-5636 /X - Agriculture Wool Apparel Manufacturers Trust Fund,$16.0M,$42.4M,37.7%
May,2017,Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$7.6M,$42.4M,18.0%
May,2017,Department of Agriculture,Rural Housing Service,Mutual and Self-help Housing Grants,12-2006,No Year,No Year,12-2006 /X - Mutual and Self-help Housing Grants,$24.0M,$41.8M,57.2%
May,2017,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2017-FY2018,2018,12-0137 17/18 - Rental Assistance Program,$40.0M,$40.0M,100.0%
May,2017,Department of Agriculture,Forest Service,Acquisition of Lands to Complete Land Exchanges,12-5216,No Year,No Year,12-5216 /X - Acquisition of Lands to Complete Land Exchanges,$37.3M,$39.8M,93.8%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Assistance Grants,12-1953,No Year,No Year,12-1953 /X - Rural Housing Assistance Grants,$21.0M,$39.3M,53.3%
May,2017,Department of Agriculture,Farm Service Agency,Agricultural Disaster Relief Fund,12-5531,No Year,No Year,12-5531 /X - Agricultural Disaster Relief Fund,$37.8M,$38.3M,98.6%
May,2017,Department of Agriculture,Forest Service,Stewardship Contracting Product Sales,12-5540,No Year,No Year,12-5540 /X - Stewardship Contracting Product Sales,$31.7M,$37.9M,83.7%
May,2017,Department of Agriculture,Forest Service,Reforestation Trust Fund,12-8046,No Year,No Year,12-8046 /X - Reforestation Trust Fund,$21.2M,$37.1M,57.2%
May,2017,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Accou,12-1230,FY2017,2017,12-1230 /17 - Rural Electrification and Telecommunications Loans Program Accou,$13.7M,$36.3M,37.6%
May,2017,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,No Year,No Year,12-2081 /X - Rural Housing Insurance Fund Program Account,$29.1M,$35.8M,81.2%
May,2017,Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,No Year,No Year,12-0502 /X - Extension Activities,$32.3M,$35.6M,90.7%
