Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Feb,2024,400 Years of African-American History Commission,Federal Communications Commission,Emergency Connectivity Fund for Educational Connections and Devi,27-1913,FY2021-FY2030,2030,27-1913 21/30 - Emergency Connectivity Fund for Educational Connections and Devi,"$2,334.7M","$2,493.6M",93.6%
Feb,2024,400 Years of African-American History Commission,Federal Communications Commission,"Telecommunications Relay Services Fund, Federal Communications C",27-5700,No Year,No Year,"27-5700 /X - Telecommunications Relay Services Fund, Federal Communications C",$997.6M,"$1,566.8M",63.7%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,National Service Trust,95-8267,No Year,No Year,95-8267 /X - National Service Trust,"$1,117.7M","$1,180.0M",94.7%
Feb,2024,400 Years of African-American History Commission,District of Columbia General and Special Payments,District of Columbia Federal Pension Fund,20-5511,No Year,No Year,20-5511 /X - District of Columbia Federal Pension Fund,$723.8M,"$1,124.8M",64.3%
Feb,2024,400 Years of African-American History Commission,Securities and Exchange Commission,Salaries and Expenses,50-0100,No Year,No Year,50-0100 /X - Salaries and Expenses,$311.1M,"$1,056.2M",29.5%
Feb,2024,400 Years of African-American History Commission,FSLIC Resolution,FSLIC Resolution Fund,51-4065,No Year,No Year,51-4065 /X - FSLIC Resolution Fund,$952.5M,$952.5M,100.0%
Feb,2024,400 Years of African-American History Commission,National Credit Union Administration,Central Liquidity Facility,25-4470,No Year,No Year,25-4470 /X - Central Liquidity Facility,$907.4M,$910.6M,99.7%
Feb,2024,400 Years of African-American History Commission,Federal Communications Commission,TV Broadcaster Relocation Fund,27-5610,No Year,No Year,27-5610 /X - TV Broadcaster Relocation Fund,$868.5M,$868.5M,100.0%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Federal Payments to the Railroad Retirement Accounts,60-0113,No Year,No Year,60-0113 /X - Federal Payments to the Railroad Retirement Accounts,$428.9M,$849.4M,50.5%
Feb,2024,400 Years of African-American History Commission,Securities and Exchange Commission,Investor Protection Fund,50-5567,No Year,No Year,50-5567 /X - Investor Protection Fund,$810.6M,$847.7M,95.6%
Feb,2024,400 Years of African-American History Commission,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection Fund,95-5577,No Year,No Year,95-5577 /X - Bureau of Consumer Financial Protection Fund,$468.0M,$836.5M,55.9%
Feb,2024,400 Years of African-American History Commission,Patient-Centered Outcomes Research Trust Fund,Patient-Centered Outcomes Research Trust Fund,95-8299,FY2010-FY2029,2029,95-8299 10/29 - Patient-Centered Outcomes Research Trust Fund,$403.6M,$747.3M,54.0%
Feb,2024,400 Years of African-American History Commission,Commodity Futures Trading Commission,Commodity Futures Trading Commission Customer Protection Fund,95-4334,No Year,No Year,95-4334 /X - Commodity Futures Trading Commission Customer Protection Fund,$698.3M,$718.1M,97.2%
Feb,2024,400 Years of African-American History Commission,District of Columbia General and Special Payments,Federal Payment to the District of Columbia Pension Fund,20-1714,No Year,No Year,20-1714 /X - Federal Payment to the District of Columbia Pension Fund,$659.4M,$659.4M,100.0%
Feb,2024,400 Years of African-American History Commission,Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,95-1770,No Year,No Year,95-1770 /X - Gulf Coast Ecosystem Restoration Council,$489.4M,$634.5M,77.1%
Feb,2024,400 Years of African-American History Commission,Appalachian Regional Commission,Appalachian Regional Commission,46-0200,No Year,No Year,46-0200 /X - Appalachian Regional Commission,$607.5M,$631.0M,96.3%
Feb,2024,400 Years of African-American History Commission,Corporation for Public Broadcasting,Corporation for Public Broadcasting,20-0151,FY2024,2024,20-0151 /24 - Corporation for Public Broadcasting,$26.2M,$551.2M,4.8%
Feb,2024,400 Years of African-American History Commission,Federal Communications Commission,Salaries and Expenses,27-0100,No Year,No Year,27-0100 /X - Salaries and Expenses,$284.1M,$470.9M,60.3%
Feb,2024,400 Years of African-American History Commission,Federal Housing Finance Agency,"Federal Housing Finance Agency, Administrative Expenses",95-5532,No Year,No Year,"95-5532 /X - Federal Housing Finance Agency, Administrative Expenses",$261.1M,$460.3M,56.7%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,Salaries and Expenses,33-0100,FY2024-FY2025,2025,33-0100 24/25 - Salaries and Expenses,$150.8M,$450.0M,33.5%
Feb,2024,400 Years of African-American History Commission,Presidio Trust,Presidio Trust,95-4331,No Year,No Year,95-4331 /X - Presidio Trust,$355.0M,$448.9M,79.1%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2024,2024,95-2728 /24 - Operating Expenses,$339.9M,$441.9M,76.9%
Feb,2024,400 Years of African-American History Commission,National Credit Union Administration,Operating Fund,25-4056,No Year,No Year,25-4056 /X - Operating Fund,$252.6M,$422.3M,59.8%
Feb,2024,400 Years of African-American History Commission,Nuclear Regulatory Commission,Salaries and Expenses,31-0200,No Year,No Year,31-0200 /X - Salaries and Expenses,$87.5M,$409.7M,21.4%
Feb,2024,400 Years of African-American History Commission,Nuclear Regulatory Commission,Nuclear Facilities Fees Fund,31-5280,No Year,No Year,31-5280 /X - Nuclear Facilities Fees Fund,$392.2M,$392.2M,100.0%
Feb,2024,400 Years of African-American History Commission,U.S. Agency for Global Media,International Broadcasting Operations,95-0206,FY2024,2024,95-0206 /24 - International Broadcasting Operations,$54.2M,$373.4M,14.5%
Feb,2024,400 Years of African-American History Commission,Federal Permitting Improvement Council,Environmental Review and Permitting Improvement Fund,95-5761,FY2023-FY2031,2031,95-5761 23/31 - Environmental Review and Permitting Improvement Fund,$306.6M,$331.9M,92.4%
Feb,2024,400 Years of African-American History Commission,National Archives and Records Administration,Records Center Revolving Fund,88-4578,No Year,No Year,88-4578 /X - Records Center Revolving Fund,$192.0M,$294.9M,65.1%
Feb,2024,400 Years of African-American History Commission,Federal Trade Commission,Salaries and Expenses,29-0100,No Year,No Year,29-0100 /X - Salaries and Expenses,$92.4M,$262.5M,35.2%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,Facilities Capital,33-0103,No Year,No Year,33-0103 /X - Facilities Capital,$199.9M,$261.8M,76.4%
Feb,2024,400 Years of African-American History Commission,Intelligence Community Management Account,Intelligence Community Management Account,95-0401,FY2024,2024,95-0401 /24 - Intelligence Community Management Account,$49.3M,$246.4M,20.0%
Feb,2024,400 Years of African-American History Commission,Legal Services Corporation,Payment to the Legal Services Corporation,20-0501,FY2024,2024,20-0501 /24 - Payment to the Legal Services Corporation,$0.0M,$244.8M,0.0%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Railroad Unemployment Insurance Enhanced Benefit Payments,60-0122,No Year,No Year,60-0122 /X - Railroad Unemployment Insurance Enhanced Benefit Payments,$225.4M,$225.4M,100.0%
Feb,2024,400 Years of African-American History Commission,Central Intelligence Agency,Central Intelligence Agency Retirement and Disability System,56-3400,FY2024,2024,56-3400 /24 - Central Intelligence Agency Retirement and Disability System,$224.7M,$224.7M,100.0%
Feb,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,"Program Account, Export-Import Loans",83-0100,No Year,No Year,"83-0100 /X - Program Account, Export-Import Loans",$217.8M,$223.7M,97.4%
Feb,2024,400 Years of African-American History Commission,Northern Border Regional Commission,Northern Border Regional Commission,95-3742,No Year,No Year,95-3742 /X - Northern Border Regional Commission,$179.7M,$203.0M,88.5%
Feb,2024,400 Years of African-American History Commission,Equal Employment Opportunity Commission,Salaries and Expenses,45-0100,FY2024,2024,45-0100 /24 - Salaries and Expenses,$22.1M,$198.9M,11.1%
Feb,2024,400 Years of African-American History Commission,Presidio Trust,Presidio Trust,95-4331,FY2022-FY2026,2026,95-4331 22/26 - Presidio Trust,$188.8M,$191.7M,98.5%
Feb,2024,400 Years of African-American History Commission,National Archives and Records Administration,Operating Expenses,88-0300,FY2024,2024,88-0300 /24 - Operating Expenses,$23.2M,$172.9M,13.4%
Feb,2024,400 Years of African-American History Commission,Delta Regional Authority,Delta Regional Authority,95-0750,No Year,No Year,95-0750 /X - Delta Regional Authority,$146.0M,$150.2M,97.2%
Feb,2024,400 Years of African-American History Commission,Commodity Futures Trading Commission,Commodity Futures Trading Commission,95-1400,FY2024,2024,95-1400 /24 - Commodity Futures Trading Commission,$46.5M,$149.0M,31.2%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2021-FY2024,2024,95-2728 21/24 - Operating Expenses,$135.2M,$148.4M,91.1%
Feb,2024,400 Years of African-American History Commission,Institute of Museum and Library Services,Office of Museum and Library Services: Grants and Administration,53-0301,FY2024,2024,53-0301 /24 - Office of Museum and Library Services: Grants and Administration,$128.9M,$143.9M,89.6%
Feb,2024,400 Years of African-American History Commission,International Trade Commission,Salaries and Expenses,34-0100,No Year,No Year,34-0100 /X - Salaries and Expenses,$91.3M,$137.8M,66.2%
Feb,2024,400 Years of African-American History Commission,Federal Drug Control Programs,High Intensity Drug Trafficking Areas Program,11-1070,FY2024-FY2025,2025,11-1070 24/25 - High Intensity Drug Trafficking Areas Program,$132.0M,$132.0M,100.0%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Railroad Unemployment Insurance Trust Fund,60-8051,No Year,No Year,60-8051 /X - Railroad Unemployment Insurance Trust Fund,$88.3M,$131.8M,67.0%
Feb,2024,400 Years of African-American History Commission,National Labor Relations Board,Salaries and Expenses,63-0100,FY2024,2024,63-0100 /24 - Salaries and Expenses,$17.2M,$130.8M,13.1%
Feb,2024,400 Years of African-American History Commission,Denali Commission,Denali Commission,95-1200,No Year,No Year,95-1200 /X - Denali Commission,$106.3M,$128.0M,83.1%
Feb,2024,400 Years of African-American History Commission,Court Services and Offender Supervision Agency for the District,Federal Payment to the Court Services and Offender Supervision A,95-1734,FY2024,2024,95-1734 /24 - Federal Payment to the Court Services and Offender Supervision A,$31.2M,$121.2M,25.8%
Feb,2024,400 Years of African-American History Commission,National Endowment for the Humanities,"National Endowment for the Humanities, Grants and Administration",43-0200,No Year,No Year,"43-0200 /X - National Endowment for the Humanities, Grants and Administration",$52.1M,$112.9M,46.1%
Feb,2024,400 Years of African-American History Commission,Farm Credit Administration,Limitation on Administrative Expenses,78-4131,No Year,No Year,78-4131 /X - Limitation on Administrative Expenses,$74.4M,$112.8M,66.0%
Feb,2024,400 Years of African-American History Commission,National Endowment for the Arts,National Endowment for the Arts,59-0100,No Year,No Year,59-0100 /X - National Endowment for the Arts,$73.5M,$111.0M,66.2%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,Federal Payment to the District of Columbia Courts,95-1712,FY2024,2024,95-1712 /24 - Federal Payment to the District of Columbia Courts,$19.7M,$107.1M,18.4%
Feb,2024,400 Years of African-American History Commission,Federal Drug Control Programs,Other Federal Drug Control Programs,11-1460,No Year,No Year,11-1460 /X - Other Federal Drug Control Programs,$96.8M,$105.7M,91.6%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,Salaries and Expenses,33-0100,FY2023-FY2024,2024,33-0100 23/24 - Salaries and Expenses,$77.3M,$103.8M,74.5%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Payment to National Service Trust Fund,95-2726,No Year,No Year,95-2726 /X - Payment to National Service Trust Fund,$22.0M,$100.5M,21.9%
Feb,2024,400 Years of African-American History Commission,Corporation for Travel Promotion,Travel Promotion Fund,95-5585,No Year,No Year,95-5585 /X - Travel Promotion Fund,$100.0M,$100.0M,100.0%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2021,2021,95-2728 /21 - Operating Expenses,$85.8M,$85.9M,99.9%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2020,2020,95-2728 /20 - Operating Expenses,$82.5M,$82.5M,100.0%
Feb,2024,400 Years of African-American History Commission,National Archives and Records Administration,Repairs and Restoration,88-0302,No Year,No Year,88-0302 /X - Repairs and Restoration,$62.6M,$80.3M,77.9%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Limitation on Administration,60-8237,FY2024,2024,60-8237 /24 - Limitation on Administration,$20.7M,$73.9M,28.0%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,Federal Payment for Defender Services in District of Columbia Co,95-1736,No Year,No Year,95-1736 /X - Federal Payment for Defender Services in District of Columbia Co,$59.0M,$73.8M,79.9%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,"Salaries and Expenses, National Gallery of Art",33-0200,FY2024-FY2025,2025,"33-0200 24/25 - Salaries and Expenses, National Gallery of Art",$18.7M,$72.7M,25.7%
Feb,2024,400 Years of African-American History Commission,Consumer Product Safety Commission,Salaries and Expenses,61-0100,FY2024,2024,61-0100 /24 - Salaries and Expenses,$15.1M,$69.7M,21.7%
Feb,2024,400 Years of African-American History Commission,Neighborhood Reinvestment Corporation,Payment to the Neighborhood Reinvestment Corporation,95-1350,FY2024,2024,95-1350 /24 - Payment to the Neighborhood Reinvestment Corporation,$0.0M,$69.4M,0.0%
Feb,2024,400 Years of African-American History Commission,Intelligence Community Management Account,Intelligence Community Management Account,95-0401,FY2021,2021,95-0401 /21 - Intelligence Community Management Account,$67.2M,$67.3M,99.9%
Feb,2024,400 Years of African-American History Commission,Commodity Futures Trading Commission,Commodity Futures Trading Commission,95-1400,No Year,No Year,95-1400 /X - Commodity Futures Trading Commission,$66.6M,$66.6M,99.9%
Feb,2024,400 Years of African-American History Commission,United States Court of Appeals for Veterans Claims,Court of Appeals for Veterans Claims Retirement Fund,95-8290,No Year,No Year,95-8290 /X - Court of Appeals for Veterans Claims Retirement Fund,$62.3M,$63.6M,98.0%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2022,2022,95-2728 /22 - Operating Expenses,$62.7M,$62.8M,99.9%
Feb,2024,400 Years of African-American History Commission,Election Assistance Commission,Election Security Grants,95-1651,FY2020,2020,95-1651 /20 - Election Security Grants,$59.4M,$59.4M,100.0%
Feb,2024,400 Years of African-American History Commission,Federal Communications Commission,Secure and Trusted Communications Network Act Reimbursement Prog,27-1912,No Year,No Year,27-1912 /X - Secure and Trusted Communications Network Act Reimbursement Prog,$48.7M,$58.8M,82.9%
Feb,2024,400 Years of African-American History Commission,Federal Housing Finance Agency,Office of Inspector General,95-5564,No Year,No Year,95-5564 /X - Office of Inspector General,$37.0M,$57.8M,63.9%
Feb,2024,400 Years of African-American History Commission,Securities and Exchange Commission,Securities and Exchange Commission Reserve Fund,50-5566,No Year,No Year,50-5566 /X - Securities and Exchange Commission Reserve Fund,$44.1M,$55.0M,80.3%
Feb,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,"Program Account, Export-Import Loans",83-0100,FY2024,2024,"83-0100 /24 - Program Account, Export-Import Loans",$24.2M,$54.7M,44.2%
Feb,2024,400 Years of African-American History Commission,National Transportation Safety Board,Salaries and Expenses,95-0310,FY2024,2024,95-0310 /24 - Salaries and Expenses,$9.2M,$54.0M,17.0%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2021-FY2025,2025,95-2728 21/25 - Operating Expenses,$50.8M,$50.8M,100.0%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,Capital Repair and Restoration,33-0303,No Year,No Year,33-0303 /X - Capital Repair and Restoration,$47.6M,$48.5M,98.2%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2019,2019,95-2728 /19 - Operating Expenses,$48.4M,$48.4M,100.0%
Feb,2024,400 Years of African-American History Commission,National Archives and Records Administration,Operating Expenses,88-0300,No Year,No Year,88-0300 /X - Operating Expenses,$45.2M,$47.9M,94.2%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Salaries and Expenses,95-2722,FY2024,2024,95-2722 /24 - Salaries and Expenses,$13.0M,$43.6M,29.8%
Feb,2024,400 Years of African-American History Commission,Federal Drug Control Programs,High Intensity Drug Trafficking Areas Program,11-1070,FY2023-FY2024,2024,11-1070 23/24 - High Intensity Drug Trafficking Areas Program,$21.4M,$43.5M,49.2%
Feb,2024,400 Years of African-American History Commission,Appalachian Regional Commission,Appalachian Regional Commission,12-46-0200,No Year,No Year,12-46-0200 /X - Appalachian Regional Commission,$39.9M,$43.0M,92.8%
Feb,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,"Program Account, Export-Import Loans",83-0100,FY2023-FY2026,2026,"83-0100 23/26 - Program Account, Export-Import Loans",$42.9M,$42.9M,100.0%
Feb,2024,400 Years of African-American History Commission,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,95-3744,No Year,No Year,95-3744 /X - Southeast Crescent Regional Commission,$42.0M,$42.6M,98.7%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2020-FY2024,2024,95-2728 20/24 - Operating Expenses,$40.0M,$40.0M,100.0%
Feb,2024,400 Years of African-American History Commission,Intelligence Community Management Account,Intelligence Community Management Account,95-0401,FY2020,2020,95-0401 /20 - Intelligence Community Management Account,$39.3M,$39.3M,100.0%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,Federal Payment to the District of Columbia Courts,95-1712,FY2023-FY2024,2024,95-1712 23/24 - Federal Payment to the District of Columbia Courts,$31.8M,$37.9M,83.9%
Feb,2024,400 Years of African-American History Commission,James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Trust Fund,95-8282,No Year,No Year,95-8282 /X - James Madison Memorial Fellowship Trust Fund,$36.1M,$37.6M,96.1%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Railroad Unemployment Insurance Waiver of 7 Day Period,60-0123,FY2020-FY2021,2021,60-0123 20/21 - Railroad Unemployment Insurance Waiver of 7 Day Period,$37.0M,$37.1M,99.8%
Feb,2024,400 Years of African-American History Commission,Council of the Inspectors General on Integrity and Efficiency,Inspectors General Council Fund,95-4592,No Year,No Year,95-4592 /X - Inspectors General Council Fund,$26.6M,$36.8M,72.3%
Feb,2024,400 Years of African-American History Commission,Federal Election Commission,Salaries and Expenses,95-1600,FY2024,2024,95-1600 /24 - Salaries and Expenses,$7.0M,$35.7M,19.7%
Feb,2024,400 Years of African-American History Commission,Barry Goldwater Scholarship and Excellence in Education Foundati,Barry Goldwater Scholarship and Excellence in Education Foundati,95-8281,No Year,No Year,95-8281 /X - Barry Goldwater Scholarship and Excellence in Education Foundati,$32.4M,$32.8M,99.0%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,No Year,No Year,95-2728 /X - Operating Expenses,$30.2M,$32.8M,91.9%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Salaries and Expenses,95-2722,FY2021-FY2024,2024,95-2722 21/24 - Salaries and Expenses,$21.4M,$31.5M,68.0%
Feb,2024,400 Years of African-American History Commission,U.S. Agency for Global Media,Broadcasting Capital Improvements,95-0204,No Year,No Year,95-0204 /X - Broadcasting Capital Improvements,$31.0M,$31.5M,98.3%
Feb,2024,400 Years of African-American History Commission,Intelligence Community Management Account,Intelligence Community Management Account,95-0401,FY2019,2019,95-0401 /19 - Intelligence Community Management Account,$26.8M,$26.9M,99.6%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,Federal Payment to the District of Columbia Judicial Retirement,20-1713,No Year,No Year,20-1713 /X - Federal Payment to the District of Columbia Judicial Retirement,$26.2M,$26.2M,100.0%
Feb,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,"Program Account, Export-Import Loans",83-0100,FY2013-FY2016,2016,"83-0100 13/16 - Program Account, Export-Import Loans",$26.2M,$26.2M,100.0%
Feb,2024,400 Years of African-American History Commission,Federal Financial Institutions Examination Council Appraisal Sub,Registry Fees,95-5026,No Year,No Year,95-5026 /X - Registry Fees,$22.7M,$25.8M,88.3%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,District of Columbia Judicial Retirement and Survivors Annuity F,20-8212,No Year,No Year,20-8212 /X - District of Columbia Judicial Retirement and Survivors Annuity F,$17.6M,$25.4M,69.4%
Feb,2024,400 Years of African-American History Commission,FSLIC Resolution,"Operating Account, FDIC",51-4067,No Year,No Year,"51-4067 /X - Operating Account, FDIC",$25.2M,$25.3M,99.6%
Feb,2024,400 Years of African-American History Commission,United States Holocaust Memorial Museum,Holocaust Memorial Museum,95-3300,FY2024,2024,95-3300 /24 - Holocaust Memorial Museum,$7.1M,$25.0M,28.2%
Feb,2024,400 Years of African-American History Commission,Federal Mediation and Conciliation Service,Salaries and Expenses,93-0100,FY2024,2024,93-0100 /24 - Salaries and Expenses,$4.3M,$23.5M,18.5%
Feb,2024,400 Years of African-American History Commission,Public Defender Service for the District of Columbia,Federal Payment to the District of Columbia Public Defender Serv,95-1733,FY2024,2024,95-1733 /24 - Federal Payment to the District of Columbia Public Defender Serv,$2.9M,$23.4M,12.4%
Feb,2024,400 Years of African-American History Commission,District of Columbia General and Special Payments,Federal Payment for School Improvement,20-1817,No Year,No Year,20-1817 /X - Federal Payment for School Improvement,$22.9M,$22.9M,100.0%
Feb,2024,400 Years of African-American History Commission,Merit Systems Protection Board,Salaries and Expenses,41-0100,FY2024-FY2025,2025,41-0100 24/25 - Salaries and Expenses,$3.2M,$22.7M,14.2%
Feb,2024,400 Years of African-American History Commission,Court Services and Offender Supervision Agency for the District,Federal Payment to the Court Services and Offender Supervision A,95-1734,FY2022-FY2024,2024,95-1734 22/24 - Federal Payment to the Court Services and Offender Supervision A,$22.1M,$22.1M,100.0%
Feb,2024,400 Years of African-American History Commission,Harry S Truman Scholarship Foundation,Harry S Truman Memorial Scholarship Trust Fund,95-8296,No Year,No Year,95-8296 /X - Harry S Truman Memorial Scholarship Trust Fund,$21.2M,$22.0M,96.6%
Feb,2024,400 Years of African-American History Commission,National Archives and Records Administration,National Archives Trust Fund,88-8436,No Year,No Year,88-8436 /X - National Archives Trust Fund,$16.9M,$21.7M,77.6%
Feb,2024,400 Years of African-American History Commission,District of Columbia Courts,Federal Payment to the District of Columbia Courts,95-1712,FY2024-FY2025,2025,95-1712 24/25 - Federal Payment to the District of Columbia Courts,$20.4M,$20.4M,100.0%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,"Repair, Restoration and Renovation of Buildings, National Galler",33-0201,No Year,No Year,"33-0201 /X - Repair, Restoration and Renovation of Buildings, National Galler",$18.2M,$20.4M,89.5%
Feb,2024,400 Years of African-American History Commission,Smithsonian Institution,"Loans, John F. Kennedy Center Parking Facilities, Smithsonian In",33-0301,No Year,No Year,"33-0301 /X - Loans, John F. Kennedy Center Parking Facilities, Smithsonian In",$20.4M,$20.4M,100.0%
Feb,2024,400 Years of African-American History Commission,Council of the Inspectors General on Integrity and Efficiency,Pandemic Response Accountability Committee,95-1654,No Year,No Year,95-1654 /X - Pandemic Response Accountability Committee,$15.3M,$20.2M,75.9%
Feb,2024,400 Years of African-American History Commission,Railroad Retirement Board,Limitation on Administration,60-8237,No Year,No Year,60-8237 /X - Limitation on Administration,$18.3M,$19.7M,92.9%
Feb,2024,400 Years of African-American History Commission,Council of the Inspectors General on Integrity and Efficiency,Pandemic Response Accountability Committee,95-1654,FY2021-FY2025,2025,95-1654 21/25 - Pandemic Response Accountability Committee,$18.4M,$19.6M,93.5%
Feb,2024,400 Years of African-American History Commission,United States Court of Appeals for Veterans Claims,Salaries and Expenses,95-0300,FY2024,2024,95-0300 /24 - Salaries and Expenses,$3.2M,$19.6M,16.6%
Feb,2024,400 Years of African-American History Commission,U.S. Agency for Global Media,International Broadcasting Operations,95-0206,No Year,No Year,95-0206 /X - International Broadcasting Operations,$10.7M,$17.6M,60.6%
Feb,2024,400 Years of African-American History Commission,District of Columbia General and Special Payments,Federal Payment for Resident Tuition Support,20-1736,No Year,No Year,20-1736 /X - Federal Payment for Resident Tuition Support,$3.8M,$17.5M,21.9%
Feb,2024,400 Years of African-American History Commission,U.S. Agency for Global Media,Buying Power Maintenance,95-1147,No Year,No Year,95-1147 /X - Buying Power Maintenance,$17.5M,$17.5M,100.0%
Feb,2024,400 Years of African-American History Commission,Corporation for National and Community Service,Operating Expenses,95-2728,FY2023,2023,95-2728 /23 - Operating Expenses,$17.0M,$17.3M,98.4%
Feb,2024,400 Years of African-American History Commission,Defense Nuclear Facilities Safety Board,Salaries and Expenses,95-3900,FY2024-FY2025,2025,95-3900 24/25 - Salaries and Expenses,$2.1M,$17.3M,12.3%
Feb,2024,400 Years of African-American History Commission,Surface Transportation Board,Salaries and Expenses,95-0301,FY2024,2024,95-0301 /24 - Salaries and Expenses,$3.1M,$17.3M,17.8%
Feb,2024,400 Years of African-American History Commission,Court Services and Offender Supervision Agency for the District,Federal Payment to the Court Services and Offender Supervision A,95-1734,FY2020,2020,95-1734 /20 - Federal Payment to the Court Services and Offender Supervision A,$17.2M,$17.2M,100.0%
Feb,2024,400 Years of African-American History Commission,National Transportation Safety Board,Salaries and Expenses,95-0310,No Year,No Year,95-0310 /X - Salaries and Expenses,$14.2M,$17.1M,82.6%
Feb,2024,400 Years of African-American History Commission,Morris K. Udall and Stewart L. Udall Foundation,Environmental Dispute Resolution Fund,95-0925,No Year,No Year,95-0925 /X - Environmental Dispute Resolution Fund,$12.8M,$16.7M,76.8%
