Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$5,872.1M","$12,990.7M",45.2%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$6,974.0M","$11,910.8M",58.6%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,$984.1M,"$8,704.6M",11.3%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2017-FY2018,2018,"12-3510 17/18 - Special Supplemental Nutrition Program for Women, Infants, and C","$1,110.8M","$6,350.0M",17.5%
Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$2,629.4M","$5,540.5M",47.5%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$1,843.1M","$4,560.6M",40.4%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,"$1,675.3M","$3,556.6M",47.1%
Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,$728.8M,"$3,141.2M",23.2%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2017-FY2019,2019,12-3505 17/19 - Supplemental Nutrition Assistance Program,"$3,000.0M","$3,000.0M",100.0%
Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,FY2017-FY2020,2020,12-1115 17/20 - Wildland Fire Management,$181.6M,"$2,807.6M",6.5%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,$506.3M,"$2,195.7M",23.1%
Department of Agriculture,Forest Service,National Forest System,12-1106,FY2017-FY2020,2020,12-1106 17/20 - National Forest System,$178.9M,"$1,621.6M",11.0%
Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2017,2017,12-1400 /17 - Salaries and Expenses,$333.8M,"$1,395.9M",23.9%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2016-FY2017,2017,"12-3510 16/17 - Special Supplemental Nutrition Program for Women, Infants, and C",$41.2M,"$1,384.0M",3.0%
Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2017,2017,12-0137 /17 - Rental Assistance Program,$270.1M,"$1,365.0M",19.8%
Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$329.6M,"$1,315.3M",25.1%
Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$556.4M,"$1,162.5M",47.9%
Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$306.7M,"$1,136.9M",27.0%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2016-FY2017,2017,12-3539 16/17 - State Child Nutrition Programs,$274.9M,"$1,056.5M",26.0%
Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2017,2017,12-3700 /17 - Salaries and Expenses,$63.1M,$999.2M,6.3%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$490.4M,$985.6M,49.8%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2017-FY2018,2018,12-3505 17/18 - Supplemental Nutrition Assistance Program,$118.2M,$949.0M,12.5%
Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,$284.6M,$939.4M,30.3%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Accou,12-1230,FY2017,2017,12-1230 /17 - Rural Electrification and Telecommunications Loans Program Accou,$2.3M,$925.3M,0.2%
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2017,2017,12-0600 /17 - Salaries and Expenses,$135.3M,$904.4M,15.0%
Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$492.4M,$880.9M,55.9%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2017-FY2018,2018,12-1000 17/18 - Conservation Operations,$239.2M,$866.4M,27.6%
Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$351.1M,$769.4M,45.6%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$139.3M,$708.5M,19.7%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2017,2017,12-0403 /17 - Salaries and Expenses,$68.0M,$692.8M,9.8%
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$76.9M,$690.8M,11.1%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2017,2017,12-1600 /17 - Salaries and Expenses,$71.0M,$646.7M,11.0%
Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$501.1M,$646.4M,77.5%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2017,2017,12-1140 /17 - Agricultural Credit Insurance Fund Program Account,$21.9M,$637.8M,3.4%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2017,2017,12-2081 /17 - Rural Housing Insurance Fund Program Account,$12.1M,$585.3M,2.1%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2017,2017,12-0502 /17 - Extension Activities,$188.8M,$497.1M,38.0%
Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$231.4M,$454.3M,50.9%
Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2017,2017,12-1500 /17 - Research and Education Activities,$167.6M,$439.1M,38.2%
Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$319.6M,$437.6M,73.0%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,No Year,No Year,12-2081 /X - Rural Housing Insurance Fund Program Account,$32.7M,$433.3M,7.5%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2017,2017,12-2900 /17 - Salaries and Expenses,$165.0M,$425.5M,38.8%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$229.4M,$425.0M,54.0%
Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$183.9M,$409.3M,44.9%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$299.5M,$405.0M,73.9%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$254.1M,$381.1M,66.7%
Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,FY2017-FY2020,2020,12-1103 17/20 - Capital Improvement and Maintenance,$54.8M,$378.4M,14.5%
Department of Agriculture,Agricultural Research Service,Buildings and Facilities,12-1401,No Year,No Year,12-1401 /X - Buildings and Facilities,$203.7M,$348.3M,58.5%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,No Year,No Year,"12-3510 /X - Special Supplemental Nutrition Program for Women, Infants, and C",$288.3M,$347.3M,83.0%
Department of Agriculture,Forest Service,Restoration of Forest Lands and Improvements,12-5215,No Year,No Year,12-5215 /X - Restoration of Forest Lands and Improvements,$287.9M,$341.8M,84.2%
Department of Agriculture,Farm Service Agency,Emergency Conservation Program,12-3316,No Year,No Year,12-3316 /X - Emergency Conservation Program,$251.5M,$339.4M,74.1%
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2017-FY2018,2018,12-3507 17/18 - Commodity Assistance Program,$88.5M,$338.3M,26.2%
Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,FY2017-FY2020,2020,12-1104 17/20 - Forest and Rangeland Research,$44.7M,$329.9M,13.5%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$101.0M,$328.4M,30.8%
Department of Agriculture,Rural Housing Service,Rural Community Facilities Program Account,12-1951,No Year,No Year,12-1951 /X - Rural Community Facilities Program Account,$21.7M,$302.4M,7.2%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015-FY2017,2017,12-3505 15/17 - Supplemental Nutrition Assistance Program,$42.5M,$300.0M,14.2%
Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$82.8M,$281.6M,29.4%
Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$211.3M,$268.8M,78.6%
Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutriti,12-2903,No Year,No Year,12-2903 /X - McGovern-Dole International Food for Education and Child Nutriti,$243.7M,$268.7M,90.7%
Department of Agriculture,Forest Service,State and Private Forestry,12-1105,FY2017-FY2020,2020,12-1105 17/20 - State and Private Forestry,$66.2M,$224.2M,29.5%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$208.7M,$223.0M,93.6%
Department of Agriculture,Agricultural Marketing Service,Miscellaneous Trust Funds,12-8015,No Year,No Year,12-8015 /X - Miscellaneous Trust Funds,$69.8M,$222.4M,31.4%
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Direct Loan Finan",12-4146,No Year,No Year,"12-4146 /X - Distance Learning, Telemedicine, and Broadband Direct Loan Finan",$125.8M,$220.0M,57.2%
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",12-1232,No Year,No Year,"12-1232 /X - Distance Learning, Telemedicine, and Broadband Program",$84.4M,$195.7M,43.1%
Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,FY2017,2017,12-2500 /17 - Marketing Services,$43.0M,$176.3M,24.4%
Department of Agriculture,Forest Service,"Recreation Fees, Forest Service",12-5268,No Year,No Year,"12-5268 /X - Recreation Fees, Forest Service",$90.3M,$171.1M,52.8%
Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,12-8161,No Year,No Year,12-8161 /X - Tobacco Trust Fund,$167.3M,$167.3M,100.0%
Department of Agriculture,Forest Service,"Payment to States, National Forests Fund",12-5201,No Year,No Year,"12-5201 /X - Payment to States, National Forests Fund",$88.2M,$162.3M,54.3%
Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,FY2017,2017,12-1801 /17 - National Agricultural Statistics Service,$6.5M,$157.1M,4.1%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,12-1902,No Year,No Year,12-1902 /X - Rural Business Program Account,$37.5M,$154.2M,24.3%
Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,FY2017,2017,12-3508 /17 - Nutrition Programs Administration,$31.4M,$153.6M,20.5%
Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Program Account,12-3106,No Year,No Year,12-3106 /X - Biorefinery Assistance Program Account,$149.0M,$151.3M,98.5%
Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$69.8M,$147.0M,47.5%
Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,No Year,No Year,12-1400 /X - Salaries and Expenses,$116.1M,$129.6M,89.6%
Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$42.0M,$125.1M,33.5%
Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Direct Loan Financing Account,12-4269,No Year,No Year,12-4269 /X - Multifamily Housing Revitalization Direct Loan Financing Account,$77.9M,$120.7M,64.6%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Guarantee Financing Account,12-4337,No Year,No Year,12-4337 /X - Commodity Credit Corporation Export Guarantee Financing Account,$73.0M,$120.4M,60.6%
Department of Agriculture,Buildings and Facilities,Agriculture Buildings and Facilities and Rental Payments,12-0117,No Year,No Year,12-0117 /X - Agriculture Buildings and Facilities and Rental Payments,$58.0M,$118.5M,48.9%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2016-FY2017,2017,12-1000 16/17 - Conservation Operations,$53.2M,$117.4M,45.3%
Department of Agriculture,Office of the Secretary,Office of the Secretary,12-0115,FY2017,2017,12-0115 /17 - Office of the Secretary,$23.1M,$116.5M,19.8%
Department of Agriculture,Forest Service,Timber Salvage Sales,12-5204,No Year,No Year,12-5204 /X - Timber Salvage Sales,$66.5M,$113.2M,58.7%
Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,No Year,No Year,12-2500 /X - Marketing Services,$60.4M,$106.7M,56.6%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2017,2017,"12-1502 /17 - Integrated Research, Education, and Extension Competitive Grants",$36.8M,$104.7M,35.1%
Department of Agriculture,Foreign Agricultural Service,Debt Reduction - Financing Account,12-4143,No Year,No Year,12-4143 /X - Debt Reduction - Financing Account,$98.3M,$101.6M,96.8%
Department of Agriculture,Office of Inspector General,Office of Inspector General,12-0900,FY2017,2017,12-0900 /17 - Office of Inspector General,$16.0M,$101.4M,15.8%
Department of Agriculture,Forest Service,Land Acquisition,12-5004,No Year,No Year,12-5004 /X - Land Acquisition,$60.4M,$91.2M,66.2%
Department of Agriculture,Economic Research Service,Economic Research Service,12-1701,FY2017,2017,12-1701 /17 - Economic Research Service,$16.9M,$90.2M,18.7%
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Limitation on Inspection and Weighing Services Expenses,12-4050,No Year,No Year,12-4050 /X - Limitation on Inspection and Weighing Services Expenses,$41.7M,$89.4M,46.6%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Guaranteed Loan Financing Account,12-4267,No Year,No Year,12-4267 /X - Renewable Energy Guaranteed Loan Financing Account,$60.1M,$85.9M,70.0%
Department of Agriculture,Forest Service,"State, Private, and International Forestry (Land and Water Conse",12-5367,No Year,No Year,"12-5367 /X - State, Private, and International Forestry (Land and Water Conse",$32.0M,$85.3M,37.6%
Department of Agriculture,Risk Management Agency,Administrative and Operating Expenses,12-2707,FY2017,2017,12-2707 /17 - Administrative and Operating Expenses,$8.4M,$83.6M,10.0%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Liquidating Account,12-4141,No Year,No Year,12-4141 /X - Rural Housing Insurance Fund Liquidating Account,$54.8M,$81.7M,67.1%
Department of Agriculture,Office of Chief Information Officer,Office of the Chief Information Officer,12-0013,FY2017,2017,12-0013 /17 - Office of the Chief Information Officer,$19.0M,$69.0M,27.5%
Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,12-2501,FY2017,2017,12-2501 /17 - Payments to States and Possessions,$66.6M,$68.7M,96.9%
Department of Agriculture,Foreign Agricultural Service,P.L. 480 Direct Credit Financing Account,12-4049,No Year,No Year,12-4049 /X - P.L. 480 Direct Credit Financing Account,$35.9M,$66.7M,53.8%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Program Account,12-1908,No Year,No Year,12-1908 /X - Renewable Energy Program Account,$16.2M,$66.5M,24.4%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Accou,12-1230,No Year,No Year,12-1230 /X - Rural Electrification and Telecommunications Loans Program Accou,$19.1M,$65.5M,29.2%
Department of Agriculture,Farm Service Agency,Emergency Forest Restoration Program,12-0171,No Year,No Year,12-0171 /X - Emergency Forest Restoration Program,$58.0M,$62.9M,92.2%
Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$32.4M,$61.8M,52.4%
Department of Agriculture,Agricultural Research Service,Miscellaneous Contributed Funds,12-8214,No Year,No Year,12-8214 /X - Miscellaneous Contributed Funds,$39.0M,$61.0M,64.0%
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2016-FY2017,2017,12-3507 16/17 - Commodity Assistance Program,$7.1M,$60.4M,11.7%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Direct Loan Financing Account,12-4219,No Year,No Year,12-4219 /X - Rural Development Loan Fund Direct Loan Financing Account,$25.8M,$58.4M,44.1%
Department of Agriculture,Rural Housing Service,Rural Community Facility Guaranteed Loans Financing Account,12-4228,No Year,No Year,12-4228 /X - Rural Community Facility Guaranteed Loans Financing Account,$41.1M,$57.4M,71.7%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,No Year,No Year,12-0502 /X - Extension Activities,$40.2M,$56.6M,71.0%
Department of Agriculture,Forest Service,"Expenses, Brush Disposal",12-5206,No Year,No Year,"12-5206 /X - Expenses, Brush Disposal",$34.9M,$55.5M,63.0%
Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,12-1002,No Year,No Year,12-1002 /X - Watershed Rehabilitation Program,$40.7M,$53.6M,75.8%
Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,No Year,No Year,12-1801 /X - National Agricultural Statistics Service,$3.8M,$53.0M,7.2%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Direct Loan Financing Account,12-4176,No Year,No Year,12-4176 /X - Rural Economic Development Direct Loan Financing Account,$22.7M,$52.3M,43.4%
Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Program Account,12-2002,No Year,No Year,12-2002 /X - Multifamily Housing Revitalization Program Account,$16.4M,$51.2M,32.1%
Department of Agriculture,Animal and Plant Health Inspection Service,Buildings and Facilities,12-1601,No Year,No Year,12-1601 /X - Buildings and Facilities,$49.6M,$50.9M,97.4%
Department of Agriculture,Office of the General Counsel,Office of the General Counsel,12-2300,FY2017,2017,12-2300 /17 - Office of the General Counsel,$6.3M,$50.2M,12.6%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,No Year,No Year,"12-1502 /X - Integrated Research, Education, and Extension Competitive Grants",$23.6M,$48.7M,48.5%
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Salaries and Expenses,12-2400,FY2017,2017,12-2400 /17 - Salaries and Expenses,$6.3M,$43.7M,14.4%
Department of Agriculture,Farm Service Agency,Agriculture Wool Apparel Manufacturers Trust Fund,12-5636,No Year,No Year,12-5636 /X - Agriculture Wool Apparel Manufacturers Trust Fund,$15.8M,$42.4M,37.2%
Department of Agriculture,Rural Housing Service,Mutual and Self-help Housing Grants,12-2006,No Year,No Year,12-2006 /X - Mutual and Self-help Housing Grants,$19.3M,$42.1M,45.8%
Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2017-FY2018,2018,12-0137 17/18 - Rental Assistance Program,$40.0M,$40.0M,100.0%
Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$11.4M,$39.0M,29.4%
Department of Agriculture,Forest Service,Stewardship Contracting Product Sales,12-5540,No Year,No Year,12-5540 /X - Stewardship Contracting Product Sales,$24.9M,$37.3M,66.7%
Department of Agriculture,Forest Service,Reforestation Trust Fund,12-8046,No Year,No Year,12-8046 /X - Reforestation Trust Fund,$9.5M,$37.2M,25.5%
Department of Agriculture,Rural Housing Service,Rural Housing Assistance Grants,12-1953,No Year,No Year,12-1953 /X - Rural Housing Assistance Grants,$9.1M,$37.2M,24.5%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,No Year,No Year,12-2900 /X - Salaries and Expenses,$28.6M,$34.9M,82.0%
Department of Agriculture,Forest Service,"Timber Roads, Purchaser Elections",12-5202,No Year,No Year,"12-5202 /X - Timber Roads, Purchaser Elections",$31.8M,$31.9M,99.6%
Department of Agriculture,Forest Service,Timber Sales Pipeline Restoration Fund,12-5264,No Year,No Year,12-5264 /X - Timber Sales Pipeline Restoration Fund,$15.6M,$30.4M,51.2%
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank Direct Loan Financing Account,12-4210,No Year,No Year,12-4210 /X - Rural Telephone Bank Direct Loan Financing Account,$20.1M,$30.4M,66.3%
Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,12-1900,No Year,No Year,12-1900 /X - Rural Cooperative Development Grants,$27.8M,$30.3M,91.6%
Department of Agriculture,Rural Utilities Service,High Energy Cost Grants,12-2042,No Year,No Year,12-2042 /X - High Energy Cost Grants,$15.8M,$30.3M,52.0%
