Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Feb,2013,Department of Agriculture,Food and Nutrition Service,"Food Stamp Program, Recovery Act",12-3542,FY2013,2013,"12-3542 /13 - Food Stamp Program, Recovery Act","$4,258.7M","$6,819.1M",62.5%
Feb,2013,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$5,596.3M","$6,693.9M",83.6%
Feb,2013,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2013-FY2014,2014,"12-3510 13/14 - Special Supplemental Nutrition Program for Women, Infants, and C",$33.3M,"$3,877.2M",0.9%
Feb,2013,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,FY2013,2013,12-1004 /13 - Farm Security and Rural Investment Programs,"$1,852.1M","$2,902.6M",63.8%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$2,183.0M","$2,476.7M",88.1%
Feb,2013,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,$670.9M,"$1,477.9M",45.4%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,$712.6M,"$1,405.3M",50.7%
Feb,2013,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,$615.5M,"$1,257.4M",49.0%
Feb,2013,Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,12-8161,No Year,No Year,12-8161 /X - Tobacco Trust Fund,$965.2M,"$1,195.9M",80.7%
Feb,2013,Department of Agriculture,Farm Service Agency,Discrimination Claims Settlement,12-1144,No Year,No Year,12-1144 /X - Discrimination Claims Settlement,"$1,150.0M","$1,150.0M",100.0%
Feb,2013,Department of Agriculture,Farm Service Agency,Agricultural Disaster Relief Fund,12-5531,No Year,No Year,12-5531 /X - Agricultural Disaster Relief Fund,$247.5M,"$1,081.8M",22.9%
Feb,2013,Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$486.4M,"$1,036.4M",46.9%
Feb,2013,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,$645.9M,$996.0M,64.8%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,$587.2M,$878.9M,66.8%
Feb,2013,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2013,2013,12-1400 /13 - Salaries and Expenses,$392.0M,$783.9M,50.0%
Feb,2013,Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$409.6M,$732.1M,55.9%
Feb,2013,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$588.4M,$641.3M,91.8%
Feb,2013,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2012-FY2013,2013,12-3539 12/13 - State Child Nutrition Programs,$444.7M,$632.5M,70.3%
Feb,2013,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$421.1M,$556.7M,75.6%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$486.2M,$549.1M,88.5%
Feb,2013,Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$427.6M,$472.7M,90.5%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$244.0M,$472.7M,51.6%
Feb,2013,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2013,2013,12-3700 /13 - Salaries and Expenses,$76.8M,$464.5M,16.5%
Feb,2013,Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$421.6M,$445.9M,94.5%
Feb,2013,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Liquidating Account,12-4230,No Year,No Year,12-4230 /X - Rural Electrification and Telecommunications Liquidating Account,$353.5M,$442.0M,80.0%
Feb,2013,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2013,2013,12-0137 /13 - Rental Assistance Program,$12.9M,$441.2M,2.9%
Feb,2013,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2013,2013,12-0600 /13 - Salaries and Expenses,$115.1M,$428.8M,26.8%
Feb,2013,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2013-FY2014,2014,12-1000 13/14 - Conservation Operations,$114.7M,$423.5M,27.1%
Feb,2013,Department of Agriculture,Farm Service Agency,Emergency Conservation Program,12-3316,No Year,No Year,12-3316 /X - Emergency Conservation Program,$376.4M,$401.8M,93.7%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$244.8M,$392.6M,62.4%
Feb,2013,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$69.1M,$373.0M,18.5%
Feb,2013,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$261.5M,$356.2M,73.4%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$351.4M,$353.0M,99.6%
Feb,2013,Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$258.9M,$350.9M,73.8%
Feb,2013,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$281.9M,$336.8M,83.7%
Feb,2013,Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2013,2013,12-0403 /13 - Salaries and Expenses,$89.6M,$320.2M,28.0%
Feb,2013,Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Direct Loan Finan",12-4146,No Year,No Year,"12-4146 /X - Distance Learning, Telemedicine, and Broadband Direct Loan Finan",$239.4M,$319.7M,74.9%
Feb,2013,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2013,2013,12-1600 /13 - Salaries and Expenses,$96.7M,$311.3M,31.1%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$279.1M,$279.1M,100.0%
Feb,2013,Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$175.1M,$277.1M,63.2%
Feb,2013,Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$248.6M,$276.7M,89.8%
Feb,2013,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$117.2M,$275.1M,42.6%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$256.3M,$258.3M,99.2%
Feb,2013,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Guarantee Financing Account,12-4337,No Year,No Year,12-4337 /X - Commodity Credit Corporation Export Guarantee Financing Account,$226.5M,$253.8M,89.3%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Liquidating Account,12-4141,No Year,No Year,12-4141 /X - Rural Housing Insurance Fund Liquidating Account,$235.7M,$249.3M,94.5%
Feb,2013,Department of Agriculture,Agricultural Marketing Service,Miscellaneous Trust Funds,12-8015,No Year,No Year,12-8015 /X - Miscellaneous Trust Funds,$179.5M,$242.4M,74.1%
Feb,2013,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2012-FY2013,2013,"12-3510 12/13 - Special Supplemental Nutrition Program for Women, Infants, and C",$109.4M,$238.9M,45.8%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2013,2013,12-2081 /13 - Rural Housing Insurance Fund Program Account,$5.0M,$233.5M,2.1%
Feb,2013,Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$186.0M,$229.7M,81.0%
Feb,2013,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$210.8M,$227.8M,92.6%
Feb,2013,Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2013,2013,12-0502 /13 - Extension Activities,$215.6M,$224.6M,96.0%
Feb,2013,Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$108.3M,$221.8M,48.8%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2013,2013,12-2900 /13 - Salaries and Expenses,$132.3M,$220.6M,60.0%
Feb,2013,Department of Agriculture,Forest Service,Restoration of Forest Lands and Improvements,12-5215,No Year,No Year,12-5215 /X - Restoration of Forest Lands and Improvements,$196.5M,$202.6M,97.0%
Feb,2013,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2013,2013,12-1140 /13 - Agricultural Credit Insurance Fund Program Account,$36.8M,$197.9M,18.6%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,P.L. 480 Direct Credit Financing Account,12-4049,No Year,No Year,12-4049 /X - P.L. 480 Direct Credit Financing Account,$174.3M,$197.3M,88.3%
Feb,2013,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2013,2013,12-1500 /13 - Research and Education Activities,$185.3M,$193.8M,95.6%
Feb,2013,Department of Agriculture,Forest Service,"Payment to States, National Forests Fund",12-5201,No Year,No Year,"12-5201 /X - Payment to States, National Forests Fund",$81.3M,$161.1M,50.5%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutriti,12-2903,No Year,No Year,12-2903 /X - McGovern-Dole International Food for Education and Child Nutriti,$86.3M,$155.2M,55.6%
Feb,2013,Department of Agriculture,Departmental Management,Agriculture Buildings and Facilities and Rental Payments,12-0117,No Year,No Year,12-0117 /X - Agriculture Buildings and Facilities and Rental Payments,$21.6M,$138.3M,15.6%
Feb,2013,Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2013-FY2014,2014,12-3507 13/14 - Commodity Assistance Program,$3.2M,$126.4M,2.5%
Feb,2013,Department of Agriculture,Forest Service,"Recreation Fees, Forest Service",12-5268,No Year,No Year,"12-5268 /X - Recreation Fees, Forest Service",$105.2M,$121.0M,86.9%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Debt Reduction - Financing Account,12-4143,No Year,No Year,12-4143 /X - Debt Reduction - Financing Account,$120.6M,$120.6M,100.0%
Feb,2013,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$51.2M,$109.8M,46.6%
Feb,2013,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,No Year,No Year,12-2500 /X - Marketing Services,$78.6M,$99.7M,78.9%
Feb,2013,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2012-FY2013,2013,12-1000 12/13 - Conservation Operations,$60.6M,$91.1M,66.5%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Community Facility Guaranteed Loans Financing Account,12-4228,No Year,No Year,12-4228 /X - Rural Community Facility Guaranteed Loans Financing Account,$83.2M,$87.3M,95.3%
Feb,2013,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,No Year,No Year,12-3505 /X - Supplemental Nutrition Assistance Program,$38.3M,$86.2M,44.4%
Feb,2013,Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Limitation on Inspection and Weighing Services Expenses,12-4050,No Year,No Year,12-4050 /X - Limitation on Inspection and Weighing Services Expenses,$60.1M,$81.6M,73.6%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Direct Loan Financing Account,12-4176,No Year,No Year,12-4176 /X - Rural Economic Development Direct Loan Financing Account,$74.3M,$81.0M,91.8%
Feb,2013,Department of Agriculture,Forest Service,Acquisition of Lands to Complete Land Exchanges,12-5216,No Year,No Year,12-5216 /X - Acquisition of Lands to Complete Land Exchanges,$76.0M,$76.2M,99.7%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Guaranteed Loan Financing Account,12-4267,No Year,No Year,12-4267 /X - Renewable Energy Guaranteed Loan Financing Account,$74.3M,$74.3M,100.0%
Feb,2013,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,$72.2M,$73.8M,97.8%
Feb,2013,Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,FY2013,2013,12-1801 /13 - National Agricultural Statistics Service,$23.2M,$73.0M,31.8%
Feb,2013,Department of Agriculture,Agricultural Research Service,Miscellaneous Contributed Funds,12-8214,No Year,No Year,12-8214 /X - Miscellaneous Contributed Funds,$61.2M,$72.2M,84.8%
Feb,2013,Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,FY2013,2013,12-3508 /13 - Nutrition Programs Administration,$15.9M,$66.6M,23.8%
Feb,2013,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,FY2013,2013,12-2500 /13 - Marketing Services,$17.0M,$65.2M,26.0%
Feb,2013,Department of Agriculture,Forest Service,Timber Salvage Sales,12-5204,No Year,No Year,12-5204 /X - Timber Salvage Sales,$49.0M,$64.4M,76.0%
Feb,2013,Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",12-1232,No Year,No Year,"12-1232 /X - Distance Learning, Telemedicine, and Broadband Program",$55.9M,$61.9M,90.2%
Feb,2013,Department of Agriculture,Forest Service,Reforestation Trust Fund,12-8046,No Year,No Year,12-8046 /X - Reforestation Trust Fund,$60.7M,$60.7M,100.0%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Energy Assistance Payments,12-2073,No Year,No Year,12-2073 /X - Energy Assistance Payments,$56.7M,$58.2M,97.5%
Feb,2013,Department of Agriculture,Forest Service,"Expenses, Brush Disposal",12-5206,No Year,No Year,"12-5206 /X - Expenses, Brush Disposal",$47.0M,$52.3M,89.8%
Feb,2013,Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Direct Loan Financing Account,12-4269,No Year,No Year,12-4269 /X - Multifamily Housing Revitalization Direct Loan Financing Account,$46.8M,$52.2M,89.7%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,12-1902,No Year,No Year,12-1902 /X - Rural Business Program Account,$35.2M,$49.4M,71.2%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Direct Loan Financing Account,12-4219,No Year,No Year,12-4219 /X - Rural Development Loan Fund Direct Loan Financing Account,$38.0M,$46.9M,81.1%
Feb,2013,Department of Agriculture,Office of Inspector General,Office of the Inspector General,12-0900,FY2013,2013,12-0900 /13 - Office of the Inspector General,$7.0M,$43.1M,16.2%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Program Account,12-3106,No Year,No Year,12-3106 /X - Biorefinery Assistance Program Account,$40.7M,$40.7M,100.0%
Feb,2013,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2017,2017,12-3539 13/17 - State Child Nutrition Programs,$40.0M,$40.0M,100.0%
Feb,2013,Department of Agriculture,Economic Research Service,Economic Research Service,12-1701,FY2013,2013,12-1701 /13 - Economic Research Service,$11.1M,$39.0M,28.5%
Feb,2013,Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,No Year,No Year,12-1801 /X - National Agricultural Statistics Service,$15.9M,$37.0M,43.1%
Feb,2013,Department of Agriculture,Forest Service,"Roads and Trails for States, National Forests Fund",12-5203,No Year,No Year,"12-5203 /X - Roads and Trails for States, National Forests Fund",$36.9M,$36.9M,100.0%
Feb,2013,Department of Agriculture,Risk Management Agency,Administrative and Operating Expenses,12-2707,FY2013,2013,12-2707 /13 - Administrative and Operating Expenses,$11.5M,$36.5M,31.4%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,No Year,No Year,12-2900 /X - Salaries and Expenses,$34.1M,$35.3M,96.6%
Feb,2013,Department of Agriculture,Departmental Management,Office of the Chief Information Officer,12-0013,FY2013,2013,12-0013 /13 - Office of the Chief Information Officer,$10.4M,$35.2M,29.5%
Feb,2013,Department of Agriculture,Forest Service,Land Acquisition,12-5004,No Year,No Year,12-5004 /X - Land Acquisition,$26.2M,$35.2M,74.4%
Feb,2013,Department of Agriculture,Animal and Plant Health Inspection Service,Miscellaneous Contributed Funds,12-8226,No Year,No Year,12-8226 /X - Miscellaneous Contributed Funds,$29.7M,$32.6M,91.0%
Feb,2013,Department of Agriculture,Rural Utilities Service,Rural Telephone Bank Direct Loan Financing Account,12-4210,No Year,No Year,12-4210 /X - Rural Telephone Bank Direct Loan Financing Account,$23.8M,$30.9M,77.0%
Feb,2013,Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Program Account,12-2002,No Year,No Year,12-2002 /X - Multifamily Housing Revitalization Program Account,$24.9M,$30.2M,82.7%
Feb,2013,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2012-FY2013,2013,12-2900 12/13 - Salaries and Expenses,$21.6M,$29.5M,73.0%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,No Year,No Year,12-2081 /X - Rural Housing Insurance Fund Program Account,$20.5M,$29.2M,70.3%
Feb,2013,Department of Agriculture,Farm Service Agency,Emergency Forest Restoration Program,12-0171,No Year,No Year,12-0171 /X - Emergency Forest Restoration Program,$26.5M,$29.1M,91.0%
Feb,2013,Department of Agriculture,Forest Service,"Timber Roads, Purchaser Elections",12-5202,No Year,No Year,"12-5202 /X - Timber Roads, Purchaser Elections",$28.2M,$28.2M,100.0%
Feb,2013,Department of Agriculture,Forest Service,"Payment to Counties, National Grasslands",12-5896,No Year,No Year,"12-5896 /X - Payment to Counties, National Grasslands",$27.6M,$27.6M,100.0%
Feb,2013,Department of Agriculture,Forest Service,Timber Sales Pipeline Restoration Fund,12-5264,No Year,No Year,12-5264 /X - Timber Sales Pipeline Restoration Fund,$22.1M,$27.0M,81.8%
Feb,2013,Department of Agriculture,Rural Housing Service,Rural Community Facilities Program Account,12-1951,No Year,No Year,12-1951 /X - Rural Community Facilities Program Account,$22.4M,$24.4M,91.8%
Feb,2013,Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,12-1900,No Year,No Year,12-1900 /X - Rural Cooperative Development Grants,$23.7M,$23.7M,100.0%
Feb,2013,Department of Agriculture,Rural Housing Service,Mutual and Self-help Housing Grants,12-2006,No Year,No Year,12-2006 /X - Mutual and Self-help Housing Grants,$16.8M,$23.6M,71.3%
Feb,2013,Department of Agriculture,Rural Utilities Service,High Energy Cost Grants,12-2042,No Year,No Year,12-2042 /X - High Energy Cost Grants,$20.1M,$22.4M,89.4%
Feb,2013,Department of Agriculture,Departmental Management,Departmental Administration,12-0120,FY2013,2013,12-0120 /13 - Departmental Administration,$6.6M,$20.4M,32.2%
Feb,2013,Department of Agriculture,Forest Service,Stewardship Contracting Product Sales,12-5540,No Year,No Year,12-5540 /X - Stewardship Contracting Product Sales,$20.2M,$20.3M,99.4%
Feb,2013,Department of Agriculture,Office of the General Counsel,Office of the General Counsel,12-2300,FY2013,2013,12-2300 /13 - Office of the General Counsel,$1.6M,$20.0M,7.8%
Feb,2013,Department of Agriculture,Forest Service,Operations and Maintenance of Quarters,12-5219,No Year,No Year,12-5219 /X - Operations and Maintenance of Quarters,$15.1M,$18.7M,80.7%
