Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$8.8M,$14.1M,62.3%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$0.0M,$11.6M,0.0%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2013-FY2014,2014,96-3126 13/14 - Regulatory Program,$1.4M,$11.4M,12.3%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2014-FY2015,2015,96-3132 14/15 - Office of the Assistant Secretary of the Army for Civil Works,$0.0M,$5.0M,0.0%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Inland Waterways Trust Fund,96-96-8861,No Year,No Year,96-96-8861 /X - Inland Waterways Trust Fund,$0.3M,$0.3M,100.0%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.3M,$0.3M,100.0%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,No Year,No Year,96-3132 /X - Office of the Assistant Secretary of the Army for Civil Works,$0.1M,$0.1M,100.0%
Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,40.0%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2014,2014,12-3505 /14 - Supplemental Nutrition Assistance Program,"$14,473.5M","$78,663.1M",18.4%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$16,441.4M","$24,783.2M",66.3%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2014-FY2015,2015,12-3539 14/15 - State Child Nutrition Programs,$748.6M,"$19,283.8M",3.9%
Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$3,667.7M","$14,720.2M",24.9%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$6,430.4M","$10,132.0M",63.5%
Department of Agriculture,Food and Nutrition Service,"Food Stamp Program, Recovery Act",12-3542,FY2014,2014,"12-3542 /14 - Food Stamp Program, Recovery Act",$871.0M,"$6,667.4M",13.1%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2014-FY2015,2015,"12-3510 14/15 - Special Supplemental Nutrition Program for Women, Infants, and C",$174.7M,"$6,590.8M",2.7%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Liquidating Account,12-4230,No Year,No Year,12-4230 /X - Rural Electrification and Telecommunications Liquidating Account,"$2,959.6M","$4,447.4M",66.5%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$3,141.9M","$3,825.5M",82.1%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$1,209.5M","$3,640.1M",33.2%
Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,FY2014,2014,12-1004 /14 - Farm Security and Rural Investment Programs,"$2,315.1M","$3,432.6M",67.4%
Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,"$2,598.0M","$3,302.9M",78.7%
Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,$670.3M,"$3,182.0M",21.1%
Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$1,996.4M","$3,097.7M",64.4%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,"$1,129.7M","$2,601.4M",43.4%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2013-FY2014,2014,12-3505 13/14 - Supplemental Nutrition Assistance Program,"$2,194.5M","$2,546.4M",86.2%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,"$1,043.5M","$2,530.6M",41.2%
Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$490.3M,"$1,978.6M",24.8%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2014,2014,12-3539 13/14 - State Child Nutrition Programs,$245.4M,"$1,462.0M",16.8%
Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2014,2014,12-1400 /14 - Salaries and Expenses,$381.1M,"$1,372.8M",27.8%
Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,12-8161,No Year,No Year,12-8161 /X - Tobacco Trust Fund,$334.1M,"$1,183.2M",28.2%
Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$621.5M,"$1,131.8M",54.9%
Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2014,2014,12-0137 /14 - Rental Assistance Program,$12.2M,"$1,110.0M",1.1%
Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$264.0M,"$1,065.7M",24.8%
Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2014,2014,12-3700 /14 - Salaries and Expenses,$90.9M,$977.1M,9.3%
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2014,2014,12-0600 /14 - Salaries and Expenses,$164.7M,$910.4M,18.1%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Accou,12-1230,FY2014,2014,12-1230 /14 - Rural Electrification and Telecommunications Loans Program Accou,$0.0M,$888.8M,0.0%
Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$195.2M,$846.2M,23.1%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2014-FY2015,2015,12-1000 14/15 - Conservation Operations,$158.4M,$837.1M,18.9%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$397.9M,$814.8M,48.8%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$269.9M,$792.5M,34.1%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2014,2014,12-2081 /14 - Rural Housing Insurance Fund Program Account,$13.5M,$772.2M,1.8%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,No Year,No Year,12-2081 /X - Rural Housing Insurance Fund Program Account,$33.3M,$771.9M,4.3%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$566.0M,$722.5M,78.3%
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$96.0M,$695.3M,13.8%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2014,2014,12-0403 /14 - Salaries and Expenses,$98.3M,$668.9M,14.7%
Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$304.8M,$604.8M,50.4%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2014,2014,12-1140 /14 - Agricultural Credit Insurance Fund Program Account,$10.2M,$595.1M,1.7%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2014,2014,12-1600 /14 - Salaries and Expenses,$91.0M,$594.9M,15.3%
Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$173.5M,$518.2M,33.5%
Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$162.0M,$510.3M,31.7%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2014-FY2015,2015,12-3505 14/15 - Supplemental Nutrition Assistance Program,$21.4M,$491.0M,4.4%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2014,2014,12-0502 /14 - Extension Activities,$42.7M,$483.1M,8.8%
Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$376.4M,$470.4M,80.0%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2013-FY2014,2014,"12-3510 13/14 - Special Supplemental Nutrition Program for Women, Infants, and C",$13.4M,$469.1M,2.9%
Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$401.6M,$466.2M,86.1%
Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$261.0M,$462.1M,56.5%
Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$136.0M,$455.3M,29.9%
Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2014,2014,12-1500 /14 - Research and Education Activities,$63.0M,$422.1M,14.9%
Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$180.8M,$415.6M,43.5%
Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$221.2M,$388.2M,57.0%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2014,2014,12-2900 /14 - Salaries and Expenses,$157.5M,$382.8M,41.1%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$272.9M,$373.1M,73.2%
Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$337.8M,$340.8M,99.1%
Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutriti,12-2903,No Year,No Year,12-2903 /X - McGovern-Dole International Food for Education and Child Nutriti,$263.1M,$339.8M,77.4%
Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$304.1M,$335.0M,90.8%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$156.9M,$325.8M,48.1%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$112.6M,$311.9M,36.1%
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2014-FY2015,2015,12-3507 14/15 - Commodity Assistance Program,$32.2M,$291.2M,11.0%
Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$139.5M,$290.0M,48.1%
Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,12-1002,No Year,No Year,12-1002 /X - Watershed Rehabilitation Program,$222.3M,$260.6M,85.3%
Department of Agriculture,Forest Service,Restoration of Forest Lands and Improvements,12-5215,No Year,No Year,12-5215 /X - Restoration of Forest Lands and Improvements,$236.7M,$260.4M,90.9%
Department of Agriculture,Buildings and Facilities,Agriculture Buildings and Facilities and Rental Payments,12-0117,No Year,No Year,12-0117 /X - Agriculture Buildings and Facilities and Rental Payments,$18.7M,$258.6M,7.2%
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",12-1232,No Year,No Year,"12-1232 /X - Distance Learning, Telemedicine, and Broadband Program",$52.0M,$257.2M,20.2%
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Liquidating Account,12-4141,No Year,No Year,12-4141 /X - Rural Housing Insurance Fund Liquidating Account,$221.6M,$247.7M,89.4%
Department of Agriculture,Agricultural Marketing Service,Miscellaneous Trust Funds,12-8015,No Year,No Year,12-8015 /X - Miscellaneous Trust Funds,$97.0M,$247.5M,39.2%
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Direct Loan Finan",12-4146,No Year,No Year,"12-4146 /X - Distance Learning, Telemedicine, and Broadband Direct Loan Finan",$134.2M,$233.4M,57.5%
Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Program Account,12-3106,No Year,No Year,12-3106 /X - Biorefinery Assistance Program Account,$198.9M,$206.8M,96.2%
Department of Agriculture,Forest Service,"Payment to States, National Forests Fund",12-5201,No Year,No Year,"12-5201 /X - Payment to States, National Forests Fund",$76.9M,$186.3M,41.3%
Department of Agriculture,Farm Service Agency,Emergency Conservation Program,12-3316,No Year,No Year,12-3316 /X - Emergency Conservation Program,$159.7M,$183.8M,86.9%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Guarantee Financing Account,12-4337,No Year,No Year,12-4337 /X - Commodity Credit Corporation Export Guarantee Financing Account,$120.1M,$182.8M,65.7%
Department of Agriculture,Forest Service,"Payments to States Northern Spotted Owl Guarantee, Forest Servic",12-1117,FY2014,2014,"12-1117 /14 - Payments to States Northern Spotted Owl Guarantee, Forest Servic",$4.4M,$180.0M,2.4%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$163.4M,$174.9M,93.4%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,12-1902,No Year,No Year,12-1902 /X - Rural Business Program Account,$52.8M,$164.8M,32.0%
Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,FY2014,2014,12-2500 /14 - Marketing Services,$48.7M,$161.9M,30.1%
Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,FY2014,2014,12-3508 /14 - Nutrition Programs Administration,$28.0M,$142.6M,19.6%
Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Direct Loan Financing Account,12-4269,No Year,No Year,12-4269 /X - Multifamily Housing Revitalization Direct Loan Financing Account,$88.0M,$142.4M,61.8%
Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,FY2014,2014,12-1801 /14 - National Agricultural Statistics Service,$26.8M,$141.7M,18.9%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,72-12-4336,No Year,No Year,72-12-4336 /X - Commodity Credit Corporation Fund,$118.8M,$130.9M,90.8%
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,No Year,No Year,"12-3510 /X - Special Supplemental Nutrition Program for Women, Infants, and C",$1.3M,$126.9M,1.0%
Department of Agriculture,Forest Service,"Recreation Fees, Forest Service",12-5268,No Year,No Year,"12-5268 /X - Recreation Fees, Forest Service",$61.8M,$123.4M,50.1%
Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,No Year,No Year,12-2500 /X - Marketing Services,$73.3M,$113.1M,64.8%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Guaranteed Loan Financing Account,12-4267,No Year,No Year,12-4267 /X - Renewable Energy Guaranteed Loan Financing Account,$86.3M,$112.9M,76.4%
Department of Agriculture,Rural Housing Service,Rural Community Facilities Program Account,12-1951,No Year,No Year,12-1951 /X - Rural Community Facilities Program Account,$34.5M,$112.1M,30.8%
Department of Agriculture,Office of the Secretary,Office of the Secretary,12-0115,FY2014,2014,12-0115 /14 - Office of the Secretary,$25.8M,$111.5M,23.2%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Direct Loan Financing Account,12-4176,No Year,No Year,12-4176 /X - Rural Economic Development Direct Loan Financing Account,$44.3M,$109.7M,40.3%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2014,2014,"12-1502 /14 - Integrated Research, Education, and Extension Competitive Grants",$80.6M,$103.6M,77.7%
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Program Account,12-2277,No Year,No Year,12-2277 /X - Public Law 480 Title I Program Account,$13.2M,$97.6M,13.5%
Department of Agriculture,Rural Utilities Service,Rural Development Insurance Fund Liquidating Account,12-4155,No Year,No Year,12-4155 /X - Rural Development Insurance Fund Liquidating Account,$95.4M,$95.4M,100.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,12-1900,No Year,No Year,12-1900 /X - Rural Cooperative Development Grants,$91.8M,$94.5M,97.1%
Department of Agriculture,Office of Inspector General,Office of the Inspector General,12-0900,FY2014,2014,12-0900 /14 - Office of the Inspector General,$14.0M,$93.4M,15.0%
Department of Agriculture,Farm Service Agency,Agricultural Disaster Relief Fund,12-5531,No Year,No Year,12-5531 /X - Agricultural Disaster Relief Fund,$61.4M,$93.0M,66.0%
Department of Agriculture,Rural Housing Service,Rural Community Facility Guaranteed Loans Financing Account,12-4228,No Year,No Year,12-4228 /X - Rural Community Facility Guaranteed Loans Financing Account,$76.2M,$92.7M,82.2%
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Limitation on Inspection and Weighing Services Expenses,12-4050,No Year,No Year,12-4050 /X - Limitation on Inspection and Weighing Services Expenses,$39.8M,$90.0M,44.2%
Department of Agriculture,Office of Chief Information Officer,Office of the Chief Information Officer,12-0013,FY2014,2014,12-0013 /14 - Office of the Chief Information Officer,$7.6M,$86.1M,8.8%
Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Program Account,12-2002,No Year,No Year,12-2002 /X - Multifamily Housing Revitalization Program Account,$49.9M,$84.3M,59.2%
Department of Agriculture,Foreign Agricultural Service,Debt Reduction - Financing Account,12-4143,No Year,No Year,12-4143 /X - Debt Reduction - Financing Account,$79.0M,$82.6M,95.7%
Department of Agriculture,Agricultural Research Service,Miscellaneous Contributed Funds,12-8214,No Year,No Year,12-8214 /X - Miscellaneous Contributed Funds,$58.5M,$82.0M,71.4%
Department of Agriculture,Economic Research Service,Economic Research Service,12-1701,FY2014,2014,12-1701 /14 - Economic Research Service,$10.8M,$82.0M,13.1%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Program Account,12-1908,No Year,No Year,12-1908 /X - Renewable Energy Program Account,$66.4M,$81.6M,81.3%
Department of Agriculture,Forest Service,Timber Salvage Sales,12-5204,No Year,No Year,12-5204 /X - Timber Salvage Sales,$61.3M,$79.6M,77.0%
Department of Agriculture,Risk Management Agency,Administrative and Operating Expenses,12-2707,FY2014,2014,12-2707 /14 - Administrative and Operating Expenses,$9.7M,$71.6M,13.6%
Department of Agriculture,Forest Service,"State, Private, and International Forestry (Land and Water Conse",12-5367,No Year,No Year,"12-5367 /X - State, Private, and International Forestry (Land and Water Conse",$20.9M,$71.1M,29.4%
Department of Agriculture,Rural Business_Cooperative Service,Energy Assistance Payments,12-2073,No Year,No Year,12-2073 /X - Energy Assistance Payments,$27.4M,$70.1M,39.1%
Department of Agriculture,Foreign Agricultural Service,P.L. 480 Direct Credit Financing Account,12-4049,No Year,No Year,12-4049 /X - P.L. 480 Direct Credit Financing Account,$23.1M,$69.8M,33.0%
Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,12-2501,FY2014,2014,12-2501 /14 - Payments to States and Possessions,$68.3M,$68.9M,99.2%
Department of Agriculture,Forest Service,Reforestation Trust Fund,12-8046,No Year,No Year,12-8046 /X - Reforestation Trust Fund,$42.3M,$67.5M,62.7%
Department of Agriculture,Farm Service Agency,Emergency Forest Restoration Program,12-0171,No Year,No Year,12-0171 /X - Emergency Forest Restoration Program,$57.4M,$66.1M,86.9%
Department of Agriculture,Forest Service,Land Acquisition,12-5004,No Year,No Year,12-5004 /X - Land Acquisition,$16.4M,$59.4M,27.6%
Department of Agriculture,Forest Service,"Expenses, Brush Disposal",12-5206,No Year,No Year,"12-5206 /X - Expenses, Brush Disposal",$49.8M,$57.5M,86.6%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2013-FY2014,2014,12-1000 13/14 - Conservation Operations,$29.6M,$57.3M,51.6%
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank Direct Loan Financing Account,12-4210,No Year,No Year,12-4210 /X - Rural Telephone Bank Direct Loan Financing Account,$40.4M,$54.8M,73.8%
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Direct Loan Financing Account,12-4354,No Year,No Year,12-4354 /X - Rural Microenterprise Investment Direct Loan Financing Account,$53.4M,$54.3M,98.3%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,No Year,No Year,12-3505 /X - Supplemental Nutrition Assistance Program,$43.1M,$54.0M,79.9%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,No Year,No Year,12-0502 /X - Extension Activities,$50.3M,$51.8M,97.1%
Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,No Year,No Year,12-1801 /X - National Agricultural Statistics Service,$6.3M,$49.2M,12.7%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Direct Loan Financing Account,12-4219,No Year,No Year,12-4219 /X - Rural Development Loan Fund Direct Loan Financing Account,$17.5M,$45.6M,38.4%
Department of Agriculture,Office of the General Counsel,Office of the General Counsel,12-2300,FY2014,2014,12-2300 /14 - Office of the General Counsel,$7.4M,$45.0M,16.4%
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",Salaries and Expenses,12-2400,FY2014,2014,12-2400 /14 - Salaries and Expenses,$5.4M,$40.4M,13.3%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2017,2017,12-3539 13/17 - State Child Nutrition Programs,$40.0M,$40.0M,100.0%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2014-FY2015,2015,12-0502 14/15 - Extension Activities,$39.6M,$39.6M,100.0%
Department of Agriculture,Forest Service,Acquisition of Lands to Complete Land Exchanges,12-5216,No Year,No Year,12-5216 /X - Acquisition of Lands to Complete Land Exchanges,$27.7M,$37.7M,73.5%
Department of Agriculture,Rural Housing Service,Rural Housing Assistance Grants,12-1953,No Year,No Year,12-1953 /X - Rural Housing Assistance Grants,$13.3M,$36.8M,36.0%
Department of Agriculture,Rural Housing Service,Mutual and Self-help Housing Grants,12-2006,No Year,No Year,12-2006 /X - Mutual and Self-help Housing Grants,$26.6M,$36.8M,72.2%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,No Year,No Year,12-2900 /X - Salaries and Expenses,$30.0M,$36.0M,83.6%
Department of Agriculture,Forest Service,"Roads and Trails for States, National Forests Fund",12-5203,No Year,No Year,"12-5203 /X - Roads and Trails for States, National Forests Fund",$34.7M,$34.7M,100.0%
Department of Agriculture,Forest Service,"Payment to Counties, National Grasslands",12-5896,No Year,No Year,"12-5896 /X - Payment to Counties, National Grasslands",$12.9M,$34.6M,37.5%
